1895,No Record,13.37
1899,No Record,12.13
1900,Full Shadow,10.51
1901,Full Shadow,10.85
1902,No Record,10.12
1903,Full Shadow,13.79
1904,Full Shadow,10.17
1905,Full Shadow,18.18
1907,Full Shadow,10.24
1908,Full Shadow,10.91
1910,Full Shadow,20.14
1911,Full Shadow,10.36
1914,Full Shadow,11.23
1918,Full Shadow,11.93
1929,Full Shadow,16.64
1933,Full Shadow,12.24
1936,Full Shadow,18.2
1939,Full Shadow,12.53
1942,Partial Shadow,10.57
1945,Full Shadow,10.26
1946,Full Shadow,11.9
1966,Full Shadow,11.76
1967,Full Shadow,10.75
1968,Full Shadow,10.64
1972,Full Shadow,10.49
1973,Full Shadow,10.71
1978,Full Shadow,13.32
1979,Full Shadow,13.93
1985,Full Shadow,12.61
1986,No Shadow,10.33
1989,Full Shadow,13.5
1993,Full Shadow,10.65
1994,Full Shadow,12.64
2003,Full Shadow,10.51
2004,Full Shadow,13.84
2007,No Shadow,15.25
2010,Full Shadow,11.77
2011,No Shadow,10.03
2012,Full Shadow,12.9
2015,Full Shadow,12.4
