year,tony
1953,Wonderful Town
1972,Two Gentlemen of Verona
1997,Titanic
2002,Thoroughly Modern Millie
1975,The Wiz
1991,The Will Rogers Follies
1960,The Sound of Music
2001,The Producers
1988,The Phantom of the Opera
1955,The Pajama Game
1986,The Mystery of Edwin Drood
1958,The Music Man
1998,The Lion King
1952,The King and I
2011,The Book of Mormon
2018,The Band's Visit
1979,Sweeney Todd
1995,Sunset Boulevard
2007,Spring Awakening
1950,South Pacific
1996,Rent
1959,Redhead
1974,Raisin
1994,Passion
2012,Once
1982,Nine
1957,My Fair Lady
2020,Moulin Rouge!
2005,Monty Python's Spamalot
2010,Memphis
1966,Man of La Mancha
1987,Les Misérables
1984,La Cage aux folles
1993,Kiss of the Spider Woman
1949,Kiss Me Kate
1954,Kismet
2013,Kinky Boots
2006,Jersey Boys
1989,Jerome Robbins' Broadway
2008,In the Heights
1962,How to Succeed in Business Without Really Trying
1964,Hello Dolly!
2016,Hamilton
1968,Hallelujah Baby!
2003,Hairspray
2019,Hadestown
1951,Guys and Dolls
2015,Fun Home
1999,Fosse
1965,Fiddler on the Roof
1980,Evita
2017,Dear Evan Hansen
1956,Damn Yankees
1992,Crazy for You
2000,Contact
1971,Company
1990,City of Angels
1983,Cats
1967,Cabaret
1961,Bye Bye Birdie
2009,Billy Elliot: The Musical
1985,Big River
2004,Avenue Q
1970,Applause
1977,Annie
1978,Ain't Misbehavin'
1973,A Little Night Music
2014,A Gentleman's Guide to Love & Murder
1963,A Funny Thing Happened on the Way to the Forum
1976,A Chorus Line
1981,42nd Street
1969,1776
